Inspection ID,FEI Number,Legal Name,City Name,Country Name,Country Code,Street Address Line 1,Inspection End Date,Classification Code,Product Type,Center,Project Area,Posted Citations
1078793,3004819820,Lupin Limited,Verna,India,IN,"1 - A Plot No 15 - B, Verna Industrial Estate Road; Phase",02/08/2019,OAI,Drugs,CDER,Drug Quality Assurance,No
1016658,3004859058,"Wuhan Chinese Moxibustion Technology Dev. Co., Ltd.",Wuhan,China,CN,"Miaoshan Pharmaceutical Industry Park, East Lake High-Tech; Dev. Zone",05/26/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1020544,3004881534,"Hubei Danao Pharmaceutical Co., Ltd.",Shiyan,China,CN,"Fandan Road, Danjiangkou",08/04/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
733422,3004896339,Yag Mag Labs Private Limited,Medak District,India,IN,"Survey No. 10, Gaddapotharam Village, Jinnaram Mandal",07/02/2011,OAI,Drugs,CDER,Drug Quality Assurance,No
852355,3004896392,Smruthi Organics Limited,"Solapur District, Maharashtra",India,IN,"Plot No. A-27, MIDC, Chincholi",10/18/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
1226930,3004939494,Micro Labs Limited,Bengaluru,India,IN,"Kiadb Plot 43 - 45, Anekal Taluk; Bommasandra Jigani Link Road",12/08/2023,OAI,Drugs,CDER,Drug Quality Assurance,No
893384,3004944629,Sandoz Private Limited,Navi Mumbai,India,IN,"Plot No. 8-A/2 And 8-B, Ttc Industrial Area, Kalwe Block, Village Dighe",08/29/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
1246989,3004947391,Chemspec Chemicals Private Limited,Navi Mumbai,India,IN,"Plot No 3 - C, Taluka - Panvel",08/21/2024,OAI,Drugs,CDER,Drug Quality Assurance,No
1277373,3004947391,Chemspec Chemicals Private Limited,Navi Mumbai,India,IN,"Plot No 3 - C, Taluka - Panvel",08/01/2025,OAI,Drugs,CDER,Drug Quality Assurance,No
990177,3004982352,Vikshara Trading & Investment Ltd.,Ahmedabad,India,IN,"B/H Shyam Chemicals, Odhav Road",10/18/2016,OAI,Drugs,CDER,Drug Quality Assurance,No
659222,3004983128,Stericon Pharma Pvt. Ltd.,Bommasandra,India,IN,"Sub Layout Of Plot 9, No 9",03/17/2010,OAI,Drugs,CDER,Drug Quality Assurance,No
1181052,3005029956,Torrent Pharmaceuticals Limited,Indrad,India,IN,"Ahmedabad Mehsana Highway,Taluka-Kadi, Dist. Mehsana",09/28/2022,OAI,Drugs,CDER,Drug Quality Assurance,Yes
952677,3005048741,Srikem Laboratories Private Ltd.,Navi Mumbai,India,IN,"Plot No. 17/22, 17/23, 17/24 & 17/13, MIDC, Taloja, Tal. Panvel, Raigad",12/18/2015,OAI,Drugs,CDER,Drug Quality Assurance,No
1241633,3005048741,Srikem Laboratories Private Ltd.,Navi Mumbai,India,IN,"Plot No. 17/22, 17/23, 17/24 & 17/13, MIDC, Taloja, Tal. Panvel, Raigad",05/31/2024,OAI,Drugs,CDER,Drug Quality Assurance,No
984441,3005063169,Ausmetics Daily Chemicals (Guangzhou) Co. Ltd.,Guangzhou,China,CN,No. 1 Jinxiu Road,07/29/2016,OAI,Drugs,CDER,Drug Quality Assurance,No
1024477,3005115135,Malladi Drugs and Pharmaceuticals Ltd.,Vellore,India,IN,Plot 67 Sipcot Industrial Complex,09/08/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
848918,3005124189,Indoco Remedies Limited,Verna,India,IN,L-32 33 34 Verna Industrial Estate Road,08/30/2013,OAI,Drugs,CDER,Drug Quality Assurance,No
991808,3005124189,Indoco Remedies Limited,Verna,India,IN,L-32 33 34 Verna Industrial Estate Road,09/04/2016,OAI,Drugs,CDER,Drug Quality Assurance,No
1199186,3005124189,Indoco Remedies Limited,Verna,India,IN,L-32 33 34 Verna Industrial Estate Road,02/28/2023,OAI,Drugs,CDER,Drug Quality Assurance,Yes
912371,3005151215,Emcure Pharmaceuticals Limited,Pune,India,IN,"Plot No. P-2, I.T.B.T. Park, Phase - II, MIDC, Hinjawadi",02/04/2015,OAI,Drugs,CDER,Drug Quality Assurance,Yes
1023101,3005151215,Emcure Pharmaceuticals Limited,Pune,India,IN,"Plot No. P-2, I.T.B.T. Park, Phase - II, MIDC, Hinjawadi",08/17/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1079858,3005151215,Emcure Pharmaceuticals Limited,Pune,India,IN,"Plot No. P-2, I.T.B.T. Park, Phase - II, MIDC, Hinjawadi",02/20/2019,OAI,Drugs,CDER,Drug Quality Assurance,Yes
872775,3005202703,Unimark Remedies Ltd.,Kerala,India,IN,337 Kerala Nalsarovar Road,03/21/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
881668,3005210225,Micro Labs Limited,Verna,India,IN,"Plot No. S-155 to S-159 & N1, Phase III & Phase IV, Verna Industrial Estate",05/13/2014,OAI,Drugs,CDER,Drug Quality Assurance,No
1025422,3005216842,Alchymars ICM SM Private Limited,Alathur,India,IN,A - 14 & 20 Sidco Pharmaceutical Complex,09/15/2017,OAI,Drugs,CDER,Drug Quality Assurance,No
1069330,3005216842,Alchymars ICM SM Private Limited,Alathur,India,IN,A - 14 & 20 Sidco Pharmaceutical Complex,10/19/2018,OAI,Drugs,CDER,Drug Quality Assurance,No
1298168,3005216842,Alchymars ICM SM Private Limited,Alathur,India,IN,A - 14 & 20 Sidco Pharmaceutical Complex,12/04/2025,OAI,Drugs,CDER,Drug Quality Assurance,No
1209017,3005269310,Rxhomeo Private Limited,Hyderabad,India,IN,4-1-424-426 Bank Street,05/19/2023,OAI,Drugs,CDER,Drug Quality Assurance,No
